rsquared	minus_log10_fvalue	fvalue	min_effect	max_effect	mean_effect	sample	genes	padjust_fvalue	minus_log10_padjust_fvalue	pointsize
0.0011	2.279228979195368	0.0052574	-0.6058	-0.0243	-0.315	KO vs WT 0.vs.0	RP D20	0.009488965853658536	2.0227811161841274	2.03492298369576
0.0006	1.5020618582514302	0.031473	-0.1208	1.3432	0.6112	KO vs WT 2.vs.0	RP D20	0.0495532340425532	1.3049279964561715	2.0225168189565315
0.0002	0.7044988738303769	0.19747	-0.1808	0.5427	0.181	KO vs WT 2.vs.2	RP D20	0.25050479999999997	0.6011839480660328	2.0103544916521825
0.0001	0.4397824213932138	0.36325999999999997	-0.6181	1.2923	0.3371	KO vs WT 5.vs.0	RP D20	0.4222184293193717	0.3744628141903027	2.00643622528344
0.0	0.15436872568487367	0.70086	-0.7179	0.5316	-0.0932	KO vs WT 5.vs.2	RP D20	0.7373977251184834	0.13229820653192773	2.0022510599145704
0.0	0.15847785603065206	0.69426	-0.3315	0.4509	0.0597	KO vs WT 5.vs.5	RP D20	0.733932	0.13434417631393267	2.0022864190116745
0.0122	20.188552352233067	6.4781e-21	0.4265	0.7481	0.5873	S4B vs WT 0.vs.0	RP D20	5.326437777777778e-20	19.273563141941416	2.333056456700893
0.0001	0.37383420686072055	0.42283000000000004	-0.3816	0.7262	0.1723	S4B vs WT 2.vs.0	RP D20	0.48137569230769234	0.31751584377259995	2.0054520497230275
0.0009	2.01488352607759	0.0096631	-0.2649	-0.0006	-0.1328	S4B vs WT 2.vs.2	RP D20	0.0168914031496063	1.7723342725829083	2.0305946821048804
0.0	0.06951962832308703	0.85208	-0.7468	0.8634	0.0583	S4B vs WT 5.vs.0	RP D20	0.8880833802816901	0.05154625731118612	2.000855479178742
0.0002	0.6752032823782701	0.21125	-0.7555	0.2618	-0.2468	S4B vs WT 5.vs.2	RP D20	0.26199720670391063	0.5817033389075246	2.010017821601166
0.0	0.23987166972658228	0.5756100000000001	-0.1934	0.1243	-0.0345	S4B vs WT 5.vs.5	RP D20	0.6263991176470589	0.20314886270184243	2.0034755233711885
0.0013	2.9151378609515777	0.0012158	0.0345	0.3039	0.1692	WT2 vs WT 0.vs.0	RP D20	0.0023885628318584067	2.621863329984359	2.045276512060398
0.0001	0.4372433425999216	0.36539	-0.7473	0.3587	-0.1943	WT2 vs WT 2.vs.0	RP D20	0.4224821875	0.3741915968528326	2.0064315380196023
0.0003	0.8201610719768133	0.1513	-0.0624	0.2192	0.0784	WT2 vs WT 2.vs.2	RP D20	0.2022842857142857	0.6940378537227626	2.0119592222281177
0.0015	3.2868960417984985	0.00051654	-2.1129	-0.3133	-1.2131	WT2 vs WT 5.vs.0	RP D20	0.0010652505555555553	2.972548230631711	2.0513371594678227
0.0026	5.312007563121401	4.8751999999999995e-06	-1.4702	-0.4106	-0.9404	WT2 vs WT 5.vs.2	RP D20	1.2298799999999998e-05	4.910137260820932	2.0848231861282054
0.0028	5.717128754664794	1.9181e-06	-0.3708	-0.1105	-0.2407	WT2 vs WT 5.vs.5	RP D20	5.009625882352942e-06	5.300194705928448	2.0915642823062095
0.0116	19.15861549888424	6.9404e-20	0.3431	0.6118	0.4774	ZFC4mut vs WT 0.vs.0	RP D20	4.970221935483871e-19	18.303624218267874	2.316293665339557
0.0024	4.4362105089299	3.6626e-05	0.4246	1.8328	1.1287	ZFC4mut vs WT 2.vs.0	RP D20	8.469762499999999e-05	4.07212876751883	2.0703404582064846
0.0065	11.017674483542837	9.6012e-12	0.4797	1.0617	0.7707	ZFC4mut vs WT 2.vs.2	RP D20	2.96037e-11	10.528654005523466	2.181924170172558
0.0	0.009598980717454159	0.97814	-0.925	0.9055	-0.0097	ZFC4mut vs WT 5.vs.0	RP D20	0.9870321818181819	0.005668687089021748	2.000062608494796
0.0004	0.9864886665341002	0.10315999999999999	-0.9491	0.2136	-0.3678	ZFC4mut vs WT 5.vs.2	RP D20	0.14403471698113204	0.8415328164039131	2.014508276839627
0.0003	0.9360664758369617	0.11585999999999999	-0.4556	0.1102	-0.1727	ZFC4mut vs WT 5.vs.5	RP D20	0.1577970552147239	0.801901105790281	2.013823349077585
0.0345	12.975391203873443	1.0582999999999999e-13	1.9655	4.0255	2.9955	KO vs WT 0.vs.0	RP D20 ZFC4	3.9820779661016944e-13	12.399890241064949	2.214263466842243
0.0382	14.289848773090817	5.130399999999999e-15	3.7079	7.301	5.5044	KO vs WT 2.vs.0	RP D20 ZFC4	2.4232953191489358e-14	13.615593656575896	2.2352736379098106
0.01	4.161289402046853	6.8978e-05	0.4922	2.291	1.3916	KO vs WT 2.vs.2	RP D20 ZFC4	0.0001546779393939394	3.810571622193764	2.065820144865986
0.0355	13.347250980913156	4.4952e-14	4.3474	8.7993	6.5734	KO vs WT 5.vs.0	RP D20 ZFC4	1.8144261818181818e-13	12.741260695956761	2.22016313905109
0.0111	4.568314655313988	2.702e-05	0.9532	3.968	2.4606	KO vs WT 5.vs.2	RP D20 ZFC4	6.520043478260869e-05	4.185749508208905	2.072304087795959
0.0041	1.9504718777222818	0.011208	-0.0136	1.7528	0.8696	KO vs WT 5.vs.5	RP D20 ZFC4	0.019288186046511627	1.7147086135708922	2.0295987772334483
0.0186	7.270138952949451	5.3685999999999995e-08	0.5891	1.6419	1.1155	S4B vs WT 0.vs.0	RP D20 ZFC4	1.471394074074074e-07	6.832270997377462	2.118042109514073
0.0397	14.84227131628855	1.4379000000000002e-15	2.9273	5.6796	4.3034	S4B vs WT 2.vs.0	RP D20 ZFC4	7.093640000000001e-15	14.149130855613254	2.244494396591297
0.0027	1.4251010107410542	0.037575	-0.0804	0.7531	0.3363	S4B vs WT 2.vs.2	RP D20 ZFC4	0.05833321678321678	1.2340840737554775	2.0212924718698586
0.0363	13.608306422963091	2.4643000000000002e-14	3.956	7.9437	5.9499	S4B vs WT 5.vs.0	RP D20 ZFC4	1.0726952941176471e-13	12.969523624610389	2.2241080512049978
0.0098	4.096215697141702	8.0128e-05	0.6897	3.2759	1.9828	S4B vs WT 5.vs.2	RP D20 ZFC4	0.00017477711764705883	3.7575154271370996	2.064903210916379
0.0057	2.557394821035199	0.0027708000000000003	0.0692	0.9236	0.4964	S4B vs WT 5.vs.5	RP D20 ZFC4	0.005212861016949153	2.2829238538906855	2.0394188527962864
0.0309	13.453951133598265	3.5160000000000005e-14	0.7146	1.4429	1.0788	WT2 vs WT 0.vs.0	RP D20 ZFC4	1.4727396226415096e-13	12.831874028748416	2.2217291473378684
0.0278	12.129063795756043	7.4291e-13	2.3078	4.8702	3.589	WT2 vs WT 2.vs.0	RP D20 ZFC4	2.4988790909090906e-12	11.602254756847273	2.2004784780372786
0.001	0.7344039769124084	0.18433	-0.5443	0.1742	-0.185	WT2 vs WT 2.vs.2	RP D20 ZFC4	0.2351796551724138	0.6286002507443694	2.0108283088694106
0.0138	6.343422708603886	4.5350000000000003e-07	2.0971	6.4494	4.2733	WT2 vs WT 5.vs.0	RP D20 ZFC4	1.2129759036144578e-06	5.916147826529321	2.1022093790200223
0.0005	0.4840202437205716	0.32808000000000004	-0.8167	1.8151	0.4992	WT2 vs WT 5.vs.2	RP D20 ZFC4	0.38652666666666663	0.41282053852009615	2.0070991356114436
0.001	0.7428976673408358	0.18076	-0.5121	0.162	-0.175	WT2 vs WT 5.vs.5	RP D20 ZFC4	0.233306511627907	0.632073139797746	2.0108883284368306
0.1218	45.62479377890067	2.3725e-46	2.6085	3.7119	3.1602	ZFC4mut vs WT 0.vs.0	RP D20 ZFC4	4.3891249999999996e-45	44.35762205049765	2.766567099192762
0.0493	18.321390583441072	4.771e-19	4.3696	7.8618	6.1157	ZFC4mut vs WT 2.vs.0	RP D20 ZFC4	2.9421166666666667e-18	17.53134010975772	2.3029468070305814
0.0339	12.768122812653521	1.7055999999999998e-13	1.4091	2.9056	2.1573	ZFC4mut vs WT 2.vs.2	RP D20 ZFC4	6.010209523809523e-13	12.221110387656465	2.2111737368508466
0.0293	11.115085745101581	7.6721e-12	3.6489	8.0077	5.8283	ZFC4mut vs WT 5.vs.0	RP D20 ZFC4	2.398881971830986e-11	10.619991119370017	2.1835026870725267
0.0071	3.07920382994787	0.00083329	0.4295	3.3104	1.8699	ZFC4mut vs WT 5.vs.2	RP D20 ZFC4	0.0016817307272727273	2.7742435406554566	2.04790999507333
0.0013	0.8150815464475383	0.15308	-0.285	0.9939	0.3544	ZFC4mut vs WT 5.vs.5	RP D20 ZFC4	0.2022842857142857	0.6940378537227626	2.0119592222281177
