rsquared	minus_log10_fvalue	fvalue	min_effect	max_effect	mean_effect	sample	genes	padjust_fvalue	minus_log10_padjust_fvalue	pointsize
0.0004	0.33371607737689774	0.46375	-0.6288	1.1279	0.2495	KO vs WT 0.vs.0	RP ZFC12D DIFF	0.519268040201005	0.28460840644688096	2.004883332979464
0.0031	1.333809735881014	0.046364999999999996	-0.4026	3.1438	1.3706	KO vs WT 2.vs.0	RP ZFC12D DIFF	0.07098641379310344	1.1488247636653501	2.019818993497386
0.001	0.599375678338233	0.25155	-0.5487	1.4276	0.4394	KO vs WT 2.vs.2	RP ZFC12D DIFF	0.3051590163934426	0.5154737936180238	2.0088732216448726
0.0025	1.1212197727851854	0.075645	-0.7074	3.845	1.5688	KO vs WT 5.vs.0	RP ZFC12D DIFF	0.1097594117647059	0.9595582291521454	2.01654802936522
0.0008	0.5202375962802976	0.30183000000000004	-0.9548	2.2301	0.6376	KO vs WT 5.vs.2	RP ZFC12D DIFF	0.362196	0.44105635023267287	2.0075871158430885
0.0005	0.3752642467183102	0.42144	-0.6916	1.3182	0.3133	KO vs WT 5.vs.5	RP ZFC12D DIFF	0.48137569230769234	0.31751584377259995	2.0054520497230275
0.0159	5.19011720967053	6.4548000000000004e-06	0.7267	2.6493	1.688	S4B vs WT 0.vs.0	RP ZFC12D DIFF	1.592184e-05	4.798006744659216	2.0828853110705277
0.0059	2.2021510186361644	0.0062784	0.0886	2.9879	1.5383	S4B vs WT 2.vs.0	RP ZFC12D DIFF	0.011240361290322581	1.9492197293477607	2.033651672534106
0.0044	1.747924056200199	0.017868000000000002	-0.0591	1.4039	0.6724	S4B vs WT 2.vs.2	RP ZFC12D DIFF	0.029382933333333337	1.5319048502445665	2.026439504757713
0.0039	1.594363410193333	0.025447	-0.2855	4.0155	1.865	S4B vs WT 5.vs.0	RP ZFC12D DIFF	0.04064197122302158	1.3910252359967896	2.024004778690883
0.0022	1.0202013180242495	0.095455	-0.5456	2.5439	0.9992	S4B vs WT 5.vs.2	RP ZFC12D DIFF	0.13497458598726114	0.8697479959828447	2.0149959005002107
0.0055	2.0929273920033795	0.0080737	0.019	1.3539	0.6865	S4B vs WT 5.vs.5	RP ZFC12D DIFF	0.014338891199999999	1.8434844305607971	2.0318243216465044
0.0059	2.435310269118554	0.0036701999999999998	0.0604	1.0023	0.5313	WT2 vs WT 0.vs.0	RP ZFC12D DIFF	0.006789869999999999	2.1681385407155402	2.037435096696662
0.0027	1.2909760958236944	0.051171	-0.3086	2.2277	0.9596	WT2 vs WT 2.vs.0	RP ZFC12D DIFF	0.0767565	1.114884836768013	2.0192324329423728
0.0011	0.6766241280661386	0.21056	-0.2112	0.6101	0.1994	WT2 vs WT 2.vs.2	RP ZFC12D DIFF	0.26199720670391063	0.5817033389075246	2.010017821601166
0.0002	0.21748437850860533	0.60606	-1.8808	2.8211	0.4701	WT2 vs WT 5.vs.0	RP ZFC12D DIFF	0.6540270873786407	0.18440426443496674	2.0031515732932705
0.0002	0.20201269507481306	0.6280399999999999	-1.8335	1.2535	-0.29	WT2 vs WT 5.vs.2	RP ZFC12D DIFF	0.670311923076923	0.17372305558693601	2.0029669772624934
0.0	0.061995930274510176	0.86697	-0.388	0.4419	0.027	WT2 vs WT 5.vs.5	RP ZFC12D DIFF	0.8993800934579439	0.04605672917306241	2.0007606074166078
0.0108	3.7045868544803415	0.00019743	0.1623	0.8885	0.5254	ZFC4mut vs WT 0.vs.0	RP ZFC12D DIFF	0.0004174234285714286	3.379423179099641	2.058368901059851
0.0062	2.318903551584548	0.0047983999999999995	0.1594	3.5094	1.8344	ZFC4mut vs WT 2.vs.0	RP ZFC12D DIFF	0.00873151475409836	2.058910407808658	2.0355473815446894
0.0081	2.8972233851165585	0.001267	0.197	1.7581	0.9775	ZFC4mut vs WT 2.vs.2	RP ZFC12D DIFF	0.002467315789473684	2.6077752620023924	2.04503303761216
0.0017	0.8624560054453474	0.13726	-0.9446	3.5157	1.2855	ZFC4mut vs WT 5.vs.0	RP ZFC12D DIFF	0.1858031707317073	0.7309468790424067	2.012597095681469
0.0004	0.332108304487813	0.46547	-1.0858	1.943	0.4286	ZFC4mut vs WT 5.vs.2	RP ZFC12D DIFF	0.519268040201005	0.28460840644688096	2.004883332979464
0.0003	0.2800475527455619	0.52475	-0.5388	0.8916	0.1764	ZFC4mut vs WT 5.vs.5	RP ZFC12D DIFF	0.5824725000000001	0.23472457395890448	2.004021224803484
0.0578	20.018113468868833	9.591500000000001e-21	2.4516	4.2834	3.3675	KO vs WT 0.vs.0	RP ZFC4 DIFF	7.604689285714287e-20	19.118918525760414	2.330383839515495
0.0516	17.923869505456995	1.1915999999999999e-18	4.3994	7.97	6.1847	KO vs WT 2.vs.0	RP ZFC4 DIFF	7.1496e-18	17.14571825507335	2.2962823681296625
0.0148	5.53023687540194	2.9495999999999997e-06	0.7396	2.5449	1.6423	KO vs WT 2.vs.2	RP ZFC4 DIFF	7.526565517241378e-06	5.12340315356992	2.0885089147626443
0.037	12.975678557858435	1.0576e-13	4.2418	8.6835	6.4626	KO vs WT 5.vs.0	RP ZFC4 DIFF	3.9820779661016944e-13	12.399890241064949	2.214263466842243
0.0074	3.0124365123892556	0.00097177	0.4218	3.4185	1.9202	KO vs WT 5.vs.2	RP ZFC4 DIFF	0.0019261869642857143	2.7153015606087987	2.0468913411253022
0.0017	0.9526082977995566	0.11152999999999999	-0.3532	1.4928	0.5698	KO vs WT 5.vs.5	RP ZFC4 DIFF	0.1528374074074074	0.815770337891549	2.0140630415348943
0.0542	18.80732106046546	1.5584000000000002e-19	0.7611	1.3568	1.0589	S4B vs WT 0.vs.0	RP ZFC4 DIFF	1.08114e-18	17.966118064334726	2.3104607772025174
0.0506	17.59120056247747	2.5633e-18	3.2062	5.8456	4.5259	S4B vs WT 2.vs.0	RP ZFC4 DIFF	1.497506842105263e-17	16.824631184643646	2.2907332397886213
0.0024	1.2355175028244998	0.058141	-0.0819	0.5367	0.2274	S4B vs WT 2.vs.2	RP ZFC4 DIFF	0.08662618791946308	1.0623507967861352	2.018324523041975
0.0353	12.409916446743377	3.8911999999999996e-13	3.4982	7.2996	5.3989	S4B vs WT 5.vs.0	RP ZFC4 DIFF	1.3497599999999999e-12	11.869743446276626	2.2051013021996897
0.0038	1.7245043685987764	0.018858	-0.1068	2.3075	1.1004	S4B vs WT 5.vs.2	RP ZFC4 DIFF	0.030782911764705885	1.5116903025183552	2.026090150548156
0.0004	0.3441319487513796	0.45276000000000005	-0.5166	0.2836	-0.1165	S4B vs WT 5.vs.5	RP ZFC4 DIFF	0.5102168527918782	0.2922452004623339	2.0050153144698712
0.0502	19.37310556772067	4.2353999999999995e-20	0.8697	1.5368	1.2032	WT2 vs WT 0.vs.0	RP ZFC4 DIFF	3.1341959999999995e-19	18.503873847989695	2.3197544427980987
0.0508	19.573618883821265	2.6692e-20	3.2982	5.8089	4.5535	WT2 vs WT 2.vs.0	RP ZFC4 DIFF	2.0433186206896552e-19	18.689663907269583	2.3229653253853484
0.0016	0.9673006725073825	0.10782	-0.5367	0.1243	-0.2062	WT2 vs WT 2.vs.2	RP ZFC4 DIFF	0.1486710559006211	0.8277735740885936	2.014270485260598
0.0262	10.353694319715242	4.4289999999999996e-11	3.1934	7.2552	5.2243	WT2 vs WT 5.vs.0	RP ZFC4 DIFF	1.3287e-10	9.87657306499558	2.1706547010441577
0.0006	0.48271170879749065	0.32907	-0.7626	1.6917	0.4646	WT2 vs WT 5.vs.2	RP ZFC4 DIFF	0.38652666666666663	0.41282053852009615	2.0070991356114436
0.0153	6.294042257752404	5.081100000000001e-07	-0.9302	-0.3008	-0.6155	WT2 vs WT 5.vs.5	RP ZFC4 DIFF	1.3428621428571431e-06	5.871968569363647	2.1014458591196536
0.1423	50.16818139745067	6.789199999999999e-51	2.7832	3.8855	3.3344	ZFC4mut vs WT 0.vs.0	RP ZFC4 DIFF	2.1531462857142855e-49	48.666926463014285	2.8410418614859525
0.0653	22.620803296167864	2.3944000000000004e-23	5.1285	8.6333	6.8809	ZFC4mut vs WT 2.vs.0	RP ZFC4 DIFF	2.1262272e-22	21.672390330389263	2.374513747145075
0.0446	15.554925367225069	2.7866e-16	1.7075	3.2532	2.4804	ZFC4mut vs WT 2.vs.2	RP ZFC4 DIFF	1.4386632558139534e-15	14.842040848354017	2.256469486318089
0.0315	11.147044494733663	7.1278e-12	3.614	7.9171	5.7655	ZFC4mut vs WT 5.vs.0	RP ZFC4 DIFF	2.2932921739130437e-11	10.639540611020278	2.1838405475725597
0.0043	1.9118639112994487	0.01225	-0.0388	2.7687	1.365	ZFC4mut vs WT 5.vs.2	RP ZFC4 DIFF	0.020759541984732826	1.6827822325045743	2.0290470154145592
0.0001	0.12822864188076347	0.74434	-0.5681	0.7326	0.0822	ZFC4mut vs WT 5.vs.5	RP ZFC4 DIFF	0.7794503773584905	0.10821152835887628	2.0018347863215142
0.0029	3.7732970104147783	0.00016854	-0.6985	-0.1309	-0.4147	KO vs WT 0.vs.0	FIG3K BLUE	0.00035976807692307696	3.44397737526292	2.059484547102475
0.0003	0.6416272697419794	0.22823000000000002	-0.4301	1.1857	0.3778	KO vs WT 2.vs.0	FIG3K BLUE	0.2799285082872928	0.5529528701605253	2.0095209469038178
0.0005	0.9727727459327447	0.10647000000000001	-0.1523	0.6635	0.2556	KO vs WT 2.vs.2	FIG3K BLUE	0.14772712500000001	0.8305397541380308	2.014318291259414
0.0	0.0038211809774677326	0.99124	-1.0738	1.083	0.0046	KO vs WT 5.vs.0	FIG3K BLUE	0.9953	0.002045995930597039	2.0
0.0	0.17052897557788826	0.6752600000000001	-0.8411	0.6058	-0.1176	KO vs WT 5.vs.2	FIG3K BLUE	0.7172618181818182	0.14432228723830365	2.0024588638816794
0.0002	0.45723679733806866	0.34895	-0.295	0.632	0.1685	KO vs WT 5.vs.5	FIG3K BLUE	0.4077205263157894	0.389637423840259	2.0066984776885586
0.0101	11.751291264399082	1.773e-12	0.3261	0.7002	0.5131	S4B vs WT 0.vs.0	FIG3K BLUE	5.7883235294117655e-12	11.23744720265468	2.1941737584629686
0.0001	0.24794386562058562	0.56501	-0.7619	0.4837	-0.1391	S4B vs WT 2.vs.0	FIG3K BLUE	0.6178927093596059	0.2090869290831599	2.0035781469131564
0.0012	1.8511506570407794	0.014088	-0.297	0.0071	-0.145	S4B vs WT 2.vs.2	FIG3K BLUE	0.023339820895522386	1.6319024809549485	2.028167695450254
0.0002	0.5655748201250483	0.27191	-1.2996	0.5226	-0.3885	S4B vs WT 5.vs.0	FIG3K BLUE	0.3280653260869565	0.48403966868394616	2.008329967152208
0.0006	1.0579224654189587	0.087514	-0.989	0.2003	-0.3944	S4B vs WT 5.vs.2	FIG3K BLUE	0.12615654545454544	0.8990902118047832	2.015503001957733
0.0	0.20209568392475563	0.62792	-0.2263	0.1546	-0.0358	S4B vs WT 5.vs.5	FIG3K BLUE	0.670311923076923	0.17372305558693601	2.0029669772624934
0.0006	1.1653631566652407	0.068334	-0.0466	0.2719	0.1127	WT2 vs WT 0.vs.0	FIG3K BLUE	0.0998036052631579	1.0008537701593747	2.017261711970549
0.0009	1.5589650537165696	0.027607999999999997	-1.1572	0.0904	-0.5334	WT2 vs WT 2.vs.0	FIG3K BLUE	0.043778399999999995	1.358740114944169	2.023446817014048
0.0005	1.0276397699696749	0.093834	-0.0571	0.2695	0.1062	WT2 vs WT 2.vs.2	FIG3K BLUE	0.13353299999999999	0.8744113938734979	2.0150764948180258
0.0036	5.195424446890509	6.3764e-06	-2.8169	-0.7707	-1.7938	WT2 vs WT 5.vs.0	FIG3K BLUE	1.5905177528089886e-05	4.798461479084782	2.0828931699347453
0.004	5.711236723827186	1.9443e-06	-1.7784	-0.5299	-1.1542	WT2 vs WT 5.vs.2	FIG3K BLUE	5.019006976744187e-06	5.299382200620116	2.0915502403323996
0.003	4.454494959647008	3.5116e-05	-0.4086	-0.0951	-0.2519	WT2 vs WT 5.vs.5	FIG3K BLUE	8.206054736842105e-05	4.085865590485216	2.070577862327232
0.0101	11.836212690037998	1.4581e-12	0.2598	0.5561	0.408	ZFC4mut vs WT 0.vs.0	FIG3K BLUE	4.8313164179104474e-12	11.315934518288184	2.1955302010846265
0.0013	1.9469599913572535	0.011299	-0.0129	1.5506	0.7688	ZFC4mut vs WT 2.vs.0	FIG3K BLUE	0.019295215384615386	1.7145503692134516	2.0295960424043953
0.0064	7.681164808272336	2.0837e-08	0.3897	1.051	0.7204	ZFC4mut vs WT 2.vs.2	FIG3K BLUE	5.855460759493671e-08	7.232438925112139	2.124957938251731
0.0003	0.6426941924539041	0.22766999999999998	-1.5116	0.5475	-0.4821	ZFC4mut vs WT 5.vs.0	FIG3K BLUE	0.2799285082872928	0.5529528701605253	2.0095209469038178
0.0008	1.378014067435039	0.041878	-1.2022	0.1412	-0.5305	ZFC4mut vs WT 5.vs.2	FIG3K BLUE	0.06456191666666666	1.1900235850796501	2.020531004564109
0.0004	0.8190430486659251	0.15169000000000002	-0.5207	0.1484	-0.1862	ZFC4mut vs WT 5.vs.5	FIG3K BLUE	0.2022842857142857	0.6940378537227626	2.0119592222281177
0.0	0.030873092131111977	0.9313799999999999	-0.5068	0.5418	0.0175	KO vs WT 0.vs.0	FIG3K GREY	0.9528403686635943	0.020979851529002856	2.000327220883001
0.0027	3.0192242260373785	0.0009567	0.2814	2.2723	1.2768	KO vs WT 2.vs.0	FIG3K GREY	0.0019134	2.7181942303733972	2.046941333159396
0.0	0.044658669126747076	0.90228	-0.5648	0.5134	-0.0257	KO vs WT 2.vs.2	FIG3K GREY	0.9273433333333333	0.03275944582703935	2.0005307995586477
0.0017	2.0194648864913547	0.009561700000000001	0.0077	2.5665	1.2871	KO vs WT 5.vs.0	FIG3K GREY	0.016846804761904765	1.7734824571582788	2.03061452539399
0.0	0.0159680197288195	0.9639	-0.8941	0.8632	-0.0154	KO vs WT 5.vs.2	FIG3K GREY	0.9815862385321101	0.008071538882785674	2.0001041353397424
0.0009	1.2177711077844635	0.060565999999999995	-0.9534	0.1498	-0.4018	KO vs WT 5.vs.5	FIG3K GREY	0.08963768	1.047509392389506	2.018068029195468
0.0137	13.018933794825099	9.5734e-14	0.4603	0.945	0.7027	S4B vs WT 0.vs.0	FIG3K GREY	3.795169285714286e-13	12.420768847380659	2.2146242975224473
0.0036	3.8752024320394667	0.00013329	0.3436	1.764	1.0538	S4B vs WT 2.vs.0	FIG3K GREY	0.0002872852427184466	3.5416866822940003	2.06117319026118
0.0007	1.0133491686541318	0.096973	-0.3474	0.0752	-0.1361	S4B vs WT 2.vs.2	FIG3K GREY	0.13625320253164558	0.8656532811579158	2.014925134343065
0.0034	3.6620019488770397	0.00021777	0.4667	2.6072	1.5369	S4B vs WT 5.vs.0	FIG3K GREY	0.00045608433962264147	3.3409548396911712	2.0577040790470598
0.0004	0.6838408718920317	0.20709	-0.3617	1.0557	0.347	S4B vs WT 5.vs.2	FIG3K GREY	0.25974	0.5854611638031997	2.0100827655199645
0.0	0.010234365754564219	0.9767100000000001	-0.2301	0.2353	0.0026	S4B vs WT 5.vs.5	FIG3K GREY	0.9870321818181819	0.005668687089021748	2.000062608494796
0.0039	4.547125356244051	2.8371e-05	0.1156	0.4849	0.3002	WT2 vs WT 0.vs.0	FIG3K GREY	6.772432258064516e-05	4.1692553303473465	2.0720190301955044
0.0027	3.2854774495954	0.00051823	0.2356	1.5896	0.9126	WT2 vs WT 2.vs.0	FIG3K GREY	0.0010652505555555553	2.972548230631711	2.0513371594678227
0.0008	1.1968776112615862	0.063551	-0.3349	0.0545	-0.1402	WT2 vs WT 2.vs.2	FIG3K GREY	0.09343259602649005	1.029501584104117	2.0177568125551257
0.0013	1.8582367697242121	0.013859999999999999	-0.0511	2.2388	1.0938	WT2 vs WT 5.vs.0	FIG3K GREY	0.023134736842105263	1.635735436240659	2.028233937796224
0.0	0.054881157790576174	0.88129	-0.6672	0.7493	0.041	WT2 vs WT 5.vs.2	FIG3K GREY	0.9099831627906977	0.040966643255542876	2.000672638941311
0.0013	1.8624876468778706	0.013725	-0.3626	0.008	-0.1773	WT2 vs WT 5.vs.5	FIG3K GREY	0.023082954545454542	1.6367086036330818	2.0282507563830037
0.0202	18.790860463943467	1.6186e-19	0.5305	0.9508	0.7406	ZFC4mut vs WT 0.vs.0	FIG3K GREY	1.0888763636363637e-18	17.963021429370716	2.310407260177314
0.0092	8.932519976068518	1.1681e-09	1.2665	3.12	2.1933	ZFC4mut vs WT 2.vs.0	FIG3K GREY	3.412081578947368e-09	8.46698059389867	2.146293677972709
0.0086	8.434884490180623	3.6738000000000003e-09	0.5309	1.3515	0.9412	ZFC4mut vs WT 2.vs.2	FIG3K GREY	1.0591994805194805e-08	7.975022240902467	2.1377914980637835
0.0022	2.5575045527173983	0.0027701	0.1968	2.6294	1.4131	ZFC4mut vs WT 5.vs.0	FIG3K GREY	0.005212861016949153	2.2829238538906855	2.0394188527962864
0.0001	0.21689001851645198	0.6068899999999999	-0.6455	0.9675	0.161	ZFC4mut vs WT 5.vs.2	FIG3K GREY	0.6540270873786407	0.18440426443496674	2.0031515732932705
0.0005	0.787067008291986	0.16328	-0.6001	0.1787	-0.2107	ZFC4mut vs WT 5.vs.5	FIG3K GREY	0.21448615384615385	0.6686007384550208	2.011519609953922
0.0345	12.975391203873443	1.0582999999999999e-13	1.9655	4.0255	2.9955	KO vs WT 0.vs.0	FIG3K RED	3.9820779661016944e-13	12.399890241064949	2.214263466842243
0.0382	14.289848773090817	5.130399999999999e-15	3.7079	7.301	5.5044	KO vs WT 2.vs.0	FIG3K RED	2.4232953191489358e-14	13.615593656575896	2.2352736379098106
0.01	4.161289402046853	6.8978e-05	0.4922	2.291	1.3916	KO vs WT 2.vs.2	FIG3K RED	0.0001546779393939394	3.810571622193764	2.065820144865986
0.0355	13.347250980913156	4.4952e-14	4.3474	8.7993	6.5734	KO vs WT 5.vs.0	FIG3K RED	1.8144261818181818e-13	12.741260695956761	2.22016313905109
0.0111	4.568314655313988	2.702e-05	0.9532	3.968	2.4606	KO vs WT 5.vs.2	FIG3K RED	6.520043478260869e-05	4.185749508208905	2.072304087795959
0.0041	1.9504718777222818	0.011208	-0.0136	1.7528	0.8696	KO vs WT 5.vs.5	FIG3K RED	0.019288186046511627	1.7147086135708922	2.0295987772334483
0.0186	7.270138952949451	5.3685999999999995e-08	0.5891	1.6419	1.1155	S4B vs WT 0.vs.0	FIG3K RED	1.471394074074074e-07	6.832270997377462	2.118042109514073
0.0397	14.84227131628855	1.4379000000000002e-15	2.9273	5.6796	4.3034	S4B vs WT 2.vs.0	FIG3K RED	7.093640000000001e-15	14.149130855613254	2.244494396591297
0.0027	1.4251010107410542	0.037575	-0.0804	0.7531	0.3363	S4B vs WT 2.vs.2	FIG3K RED	0.05833321678321678	1.2340840737554775	2.0212924718698586
0.0363	13.608306422963091	2.4643000000000002e-14	3.956	7.9437	5.9499	S4B vs WT 5.vs.0	FIG3K RED	1.0726952941176471e-13	12.969523624610389	2.2241080512049978
0.0098	4.096215697141702	8.0128e-05	0.6897	3.2759	1.9828	S4B vs WT 5.vs.2	FIG3K RED	0.00017477711764705883	3.7575154271370996	2.064903210916379
