"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSMUSG00000064368"	2236.3429266266	0.321352851395955	0.508474776563353	0.631993692131387	0.527390999050665	0.817388585668717
"ENSMUSG00000064363"	13938.1007818285	0.349664462830645	0.466711307773413	0.749209322779911	0.453731050944124	0.773785471028092
"ENSMUSG00000064360"	5562.6678915069	-0.00429377985175711	0.415647178062695	-0.0103303476563227	0.99175772169483	0.997580134971554
"ENSMUSG00000064358"	39564.9368769797	-0.00858769714154305	0.511594174435531	-0.0167861511539265	0.986607218120162	0.995495711681702
"ENSMUSG00000064357"	26590.8075480924	0.208556427281873	0.685843545300451	0.304087468214794	0.761061253967567	0.927153515335489
"ENSMUSG00000064356"	229.219128356749	0.280111522801309	0.814417894910975	0.34394077604585	0.730890825613499	0.915210809665044
"ENSMUSG00000064354"	25015.6960866731	0.14548613670764	0.459599761325821	0.316549635030167	0.751585357147676	0.923565815124607
"ENSMUSG00000064351"	65118.2494747597	0.329090339524596	0.472296233228714	0.696787982565237	0.485935487917197	0.793342359520704
"ENSMUSG00000064341"	18795.3324996625	0.231263604138122	0.485078545404825	0.476754963353657	0.63353661912788	0.869622794335802
"ENSMUSG00000099871"	90.3711983449723	-3.38175380515907	2.38331365137002	-1.41892939824144	0.155919600459096	0.496449439411268
"ENSMUSG00000095134"	10.3599772589048	2.44093936187283	1.52847644881739	1.59697544817352	0.110271180131461	NA
"ENSMUSG00000056673"	10.6934181338306	1.35190875989672	1.15984440468039	1.16559493190749	0.243778257892482	NA
"ENSMUSG00000053211"	11.3923940028326	-0.741169727977742	1.48486613144812	-0.499149190812856	0.617674285652585	0.862978639653863
"ENSMUSG00000035299"	25155.537443961	0.131195992493871	0.184873140573541	0.709654155746232	0.47791862764441	0.788730215686377
"ENSMUSG00000087159"	13.6690166269447	-0.390821862639394	0.955976888231331	-0.408819363156844	0.682672228881188	0.893106428941526
"ENSMUSG00000031355"	75.6867380492347	-1.05507162833582	1.01680537761448	-1.03763380049299	0.2994405754927	0.656631250118756
"ENSMUSG00000031358"	540.74398397257	0.16361847106836	0.369353660469513	0.442985919945595	0.657775918997518	0.882441807513917
"ENSMUSG00000049176"	7.12094477633721	-0.273175795280836	2.81151231098517	-0.0971632932971625	0.922596717783349	NA
"ENSMUSG00000025742"	2837.15014408163	-0.835942200067291	0.306319968733655	-2.7289836948049	0.00635298450468894	0.0843406930240496
"ENSMUSG00000049775"	16216.126057602	1.17501496571765	0.313537872537813	3.74760138610032	0.000178533680710175	0.00758130522729992
"ENSMUSG00000000402"	19.6427611966449	-1.05051952976139	0.912695228099707	-1.15100802263274	0.249728935053945	0.609029009742076
"ENSMUSG00000051224"	187.155177818417	-0.0729147373698297	0.385152183268649	-0.18931409592704	0.849846648135514	0.956235453891022
"ENSMUSG00000040586"	797.453647395316	-0.112560367543823	0.238947591017218	-0.471067178642166	0.63759276241442	0.871734630238228
"ENSMUSG00000031342"	1028.15687201663	-0.674897666052494	0.628458839481887	-1.07389318703655	0.282870557213864	0.640896052182113
"ENSMUSG00000018589"	25.2985344390573	-4.46084104490282	1.98510261212321	-2.24715892148851	0.024629872418195	0.18919651881554
"ENSMUSG00000047757"	369.467625589278	-0.0674794140725175	0.355177048612739	-0.189988104062694	0.849318452339482	0.956235453891022
"ENSMUSG00000061778"	551.984766107947	0.0303772045595984	0.200259308237213	0.151689351306535	0.8794319564041	0.964820501161222
"ENSMUSG00000040749"	1060.74938952304	-0.143756202424199	0.238407090588963	-0.602986270538608	0.546517822741643	0.828318246620354
