"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSMUSG00000064368"	2236.3429266266	0.212605302506038	0.510023223949705	0.416854159815679	0.676785084754045	0.903154018521437
"ENSMUSG00000064363"	13938.1007818285	0.241709204116857	0.46698177675113	0.517598793251565	0.604738223920708	0.872814470617156
"ENSMUSG00000064360"	5562.6678915069	0.164143628479522	0.416018146550582	0.394558818745097	0.693168510574958	0.9092992418989
"ENSMUSG00000064358"	39564.9368769797	-0.038508327835809	0.511646280201823	-0.0752635743205621	0.940005002731477	0.9859194453953
"ENSMUSG00000064357"	26590.8075480924	-0.0140400953149489	0.685922935467282	-0.0204689107026056	0.98366931254375	0.995873943352588
"ENSMUSG00000064356"	229.219128356749	-0.229799828116877	0.822981481458061	-0.279228431373383	0.780069525937245	0.941320535203223
"ENSMUSG00000064354"	25015.6960866731	0.118432966260285	0.459709548394748	0.257625639219022	0.79669584024686	0.947326436621847
"ENSMUSG00000064351"	65118.2494747597	0.419123749069037	0.472337470154869	0.887339615321256	0.374896083221955	0.751513846185067
"ENSMUSG00000064341"	18795.3324996625	0.430596303721952	0.48526972827035	0.887333947775248	0.374899133648972	0.751513846185067
"ENSMUSG00000099871"	90.3711983449723	-7.43883971375135	2.77539991645442	-2.680276694414	0.00735613269235128	0.11486884127287
"ENSMUSG00000095134"	10.3599772589048	-0.328982667280725	1.33756751376489	-0.245955934108124	0.805716344259274	NA
"ENSMUSG00000056673"	10.6934181338306	0.899805457360067	1.148636626797	0.783368244027874	0.433410898665885	NA
"ENSMUSG00000053211"	11.3923940028326	0.926934208165287	1.88108628166244	0.492765386256547	0.622178370802373	0.879217545726081
"ENSMUSG00000035299"	25155.537443961	0.255015917768058	0.184884409335272	1.3793262432724	0.167794188672696	0.552651773772398
"ENSMUSG00000087159"	13.6690166269447	-0.0559194689091892	0.957861700208993	-0.058379480980384	0.953446358697973	0.98814909154308
"ENSMUSG00000031355"	75.6867380492347	-2.24093875578772	0.959642025265846	-2.33518197076345	0.0195339165759672	0.200346010673784
"ENSMUSG00000031358"	540.74398397257	-1.19766887661404	0.360604724093499	-3.32127894226784	0.000896059333411932	0.0321461285861531
"ENSMUSG00000049176"	7.12094477633721	-1.58405975936728	2.5641258366932	-0.617777699011119	0.536721885821947	NA
"ENSMUSG00000025742"	2837.15014408163	-0.758688564212406	0.306762522194425	-2.473211390965	0.0133904911227561	0.159898217524676
"ENSMUSG00000049775"	16216.126057602	0.189166459221199	0.313277712477407	0.603829930081097	0.545956718339506	0.849663007991718
"ENSMUSG00000000402"	19.6427611966449	1.17576966827398	1.11665054829871	1.05294325970228	0.29236699785554	0.684012539500168
"ENSMUSG00000051224"	187.155177818417	0.626970989454966	0.371536113823828	1.68751022074871	0.091505286299493	0.429798906336144
"ENSMUSG00000040586"	797.453647395316	-0.092729999946389	0.240100029370536	-0.386214030000316	0.699338163902222	0.911655717830812
"ENSMUSG00000031342"	1028.15687201663	-0.536294823732967	0.629180198568399	-0.852370791314192	0.394008326367312	0.762945503713171
"ENSMUSG00000018589"	25.2985344390573	-2.13112865269608	2.65517754817013	-0.802631317127847	0.422187861728812	0.781120278574836
"ENSMUSG00000047757"	369.467625589278	-0.337786923964908	0.358265665628144	-0.942839229019251	0.345763142842348	0.728922653970836
"ENSMUSG00000061778"	551.984766107947	0.0322881326779695	0.19783375380272	0.163208411392564	0.870354343674597	0.968577099344458
"ENSMUSG00000040749"	1060.74938952304	-0.235030602400635	0.239522994190082	-0.981244423715405	0.326472222057735	0.713089700613181
"ENSMUSG00000031370"	1373.49589293284	-0.183591568088522	0.174588277786938	-1.05156869874489	0.292997475052587	0.684012539500168
"ENSMUSG00000031367"	792.305890829043	0.0448223893557838	0.291085917022579	0.153983366197366	0.877622851007951	0.969799609967026
"ENSMUSG00000038344"	1723.27447847246	0.00545456140155322	0.242586697586273	0.022484997964958	0.982061078865553	0.995467363472602
"ENSMUSG00000031353"	12380.8595639812	0.324886505165327	0.181766196175122	1.78738682990492	0.0738749887558271	0.392933321193216
"ENSMUSG00000040855"	32.2687371250127	0.5183013969279	0.849441584280911	0.610167204572006	0.541751051997182	0.84720546420568
"ENSMUSG00000062168"	7.79039156046011	0.410642256201504	1.51495624505744	0.271058822682985	0.78634579107964	NA
"ENSMUSG00000031295"	657.09922150223	0.137939709496422	0.197175807741038	0.69957725076286	0.484191353729926	0.816787451539288
"ENSMUSG00000031303"	318.166213077133	-0.984927421364753	0.644254784687985	-1.5287855748588	0.126317609582479	0.491264472835235
"ENSMUSG00000044150"	809.920696619421	0.158800980848359	0.226265236598355	0.701835523811585	0.482781742134717	0.816519153010251
"ENSMUSG00000041020"	592.73793913637	-0.940408560097129	0.286442117295515	-3.28306664179183	0.00102684388012769	0.0345755863548682
"ENSMUSG00000046873"	1018.39536663053	-0.0252381870088992	0.230994378228363	-0.109258879815458	0.912997160436985	0.979370166630261
