"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSMUSG00000064368"	2236.3429266266	0.0538718407837668	0.508553661712346	0.105931477520731	0.915636719120981	0.999890065949548
"ENSMUSG00000064363"	13938.1007818285	0.00238789514117503	0.466704779190761	0.00511650029664472	0.995917641219695	0.999890065949548
"ENSMUSG00000064360"	5562.6678915069	0.38326975239548	0.415585968475863	0.922239395620357	0.356403718077496	0.999890065949548
"ENSMUSG00000064358"	39564.9368769797	0.00496027202456875	0.511597192865131	0.00969565918997605	0.992264104428886	0.999890065949548
"ENSMUSG00000064357"	26590.8075480924	0.0847993653626391	0.685847376360203	0.123641743462911	0.901598939549287	0.999890065949548
"ENSMUSG00000064356"	229.219128356749	0.38694798761997	0.814870049067139	0.474858522610994	0.634887816766809	0.999890065949548
"ENSMUSG00000064354"	25015.6960866731	0.220123608041497	0.459598587474134	0.478947529519737	0.631975956942338	0.999890065949548
"ENSMUSG00000064351"	65118.2494747597	0.224732365291737	0.472293060673957	0.475832452357115	0.634193747945092	0.999890065949548
"ENSMUSG00000064341"	18795.3324996625	0.273661417892583	0.485069875143233	0.564169064945077	0.572639078796432	0.999890065949548
"ENSMUSG00000099871"	90.3711983449723	-0.143734440385451	2.37031042926501	-0.0606395004683079	0.951646314567074	0.999890065949548
"ENSMUSG00000095134"	10.3599772589048	0.747728505473253	1.35383061393521	0.552305803825646	0.580738854884391	0.999890065949548
"ENSMUSG00000056673"	10.6934181338306	0.342533478504656	1.109438612727	0.308744868418369	0.757515610028799	0.999890065949548
"ENSMUSG00000053211"	11.3923940028326	0.77829784985155	0.985215625345118	0.789977168276147	0.429541102346842	0.999890065949548
"ENSMUSG00000035299"	25155.537443961	0.167028798012129	0.184796225910749	0.903853946090861	0.366072852155126	0.999890065949548
"ENSMUSG00000087159"	13.6690166269447	0.882198933161545	0.92319544898495	0.955592809877387	0.339277995522905	0.999890065949548
"ENSMUSG00000031355"	75.6867380492347	-1.39888704926732	0.982049591967779	-1.42445662694519	0.154314332030851	0.999890065949548
"ENSMUSG00000031358"	540.74398397257	-0.444085569206021	0.367888567996654	-1.2071197852771	0.22738601631839	0.999890065949548
"ENSMUSG00000049176"	7.12094477633721	0.522278893771626	2.84226379641524	0.183754546087644	0.854206015812806	NA
"ENSMUSG00000025742"	2837.15014408163	-0.0421983895648232	0.306235362348872	-0.137797246017426	0.890400660956566	0.999890065949548
"ENSMUSG00000049775"	16216.126057602	-0.119034974737593	0.313688870317312	-0.37946827573826	0.704340158056653	0.999890065949548
"ENSMUSG00000000402"	19.6427611966449	1.76792105782313	0.804434265955953	2.19771973005427	0.0279690846620513	0.761533764802655
"ENSMUSG00000051224"	187.155177818417	-0.133737849711725	0.380592293219784	-0.351394003752185	0.725292780257385	0.999890065949548
"ENSMUSG00000040586"	797.453647395316	0.122823293759938	0.238471091086555	0.515044793061973	0.606521719385283	0.999890065949548
"ENSMUSG00000031342"	1028.15687201663	-1.46746276552998	0.627944737407395	-2.33692979351768	0.0194428348833983	0.650262002456794
"ENSMUSG00000018589"	25.2985344390573	-3.99593993204129	2.04721716972469	-1.95188863748084	0.0509514275915392	0.928866316490712
"ENSMUSG00000047757"	369.467625589278	-0.0660533468872992	0.355124026658753	-0.186000782624521	0.852444147593314	0.999890065949548
"ENSMUSG00000061778"	551.984766107947	-0.14681456251752	0.199414047385098	-0.736229791444931	0.461590864878506	0.999890065949548
"ENSMUSG00000040749"	1060.74938952304	0.133541731979994	0.238032456887241	0.561023205517112	0.574781717868897	0.999890065949548
"ENSMUSG00000031370"	1373.49589293284	0.115220666117027	0.173470456941158	0.66420915785165	0.506556452965337	0.999890065949548
"ENSMUSG00000031367"	792.305890829043	-0.12120139135614	0.290674583026996	-0.416965907696455	0.67670334447204	0.999890065949548
"ENSMUSG00000038344"	1723.27447847246	0.224082420068244	0.238260726926898	0.940492472084984	0.34696500924179	0.999890065949548
"ENSMUSG00000031353"	12380.8595639812	0.0423640124810495	0.181811665387257	0.233010419825453	0.815753314599274	0.999890065949548
"ENSMUSG00000040855"	32.2687371250127	0.928588791508708	0.661354641886445	1.40407087619436	0.160297745083144	0.999890065949548
"ENSMUSG00000062168"	7.79039156046011	-0.354473175109615	1.44436387460582	-0.245418195055837	0.806132642104741	NA
"ENSMUSG00000031295"	657.09922150223	-0.261543808966952	0.20080959673773	-1.30244676158851	0.1927637061152	0.999890065949548
"ENSMUSG00000031303"	318.166213077133	-0.166450160631254	0.639984105110097	-0.26008483539231	0.79479833511839	0.999890065949548
"ENSMUSG00000044150"	809.920696619421	0.396907156331783	0.221247511268087	1.79395082935351	0.072821017404255	0.999890065949548
"ENSMUSG00000041020"	592.73793913637	-0.282816127912461	0.285254933269179	-0.991450435830266	0.321465682981624	0.999890065949548
"ENSMUSG00000046873"	1018.39536663053	-0.00180477079960221	0.233795415922982	-0.00771944476531886	0.993840835374435	0.999890065949548
"ENSMUSG00000071708"	5296.10905357868	-0.067693995411758	0.262041205037411	-0.258333399902101	0.796149611449956	0.999890065949548
"ENSMUSG00000085982"	12.5654229222081	-1.8219040752395	1.33849887994177	-1.3611547252985	0.173464798415149	0.999890065949548
"ENSMUSG00000047238"	868.334595663564	-0.394649675539067	0.326858534674041	-1.20740208277759	0.2272773338335	0.999890065949548
"ENSMUSG00000067215"	204.35506351274	-0.641495074331231	0.350942871096714	-1.82791880720223	0.0675617380076075	0.99335737615018
"ENSMUSG00000095597"	21321.3249708227	0.0961835949361281	0.17246933960738	0.557685181349256	0.577059378408181	0.999890065949548
"ENSMUSG00000045180"	1396.48709906593	-0.36740750160836	0.255670812458346	-1.43703341838529	0.150708498157434	0.999890065949548
"ENSMUSG00000041096"	869.309406911912	0.0855415072181268	0.191587188646911	0.446488660448883	0.655244301889571	0.999890065949548
"ENSMUSG00000087403"	228.364152084827	-0.324340600500394	0.328441531161562	-0.987513970457191	0.323390737571868	0.999890065949548
"ENSMUSG00000025332"	5785.2022257593	0.0333968996397824	0.202657407718598	0.164794862500936	0.869105447886831	0.999890065949548
"ENSMUSG00000041133"	5794.80658981784	-0.138900643190555	0.176571420034984	-0.786654166133087	0.431484341625501	0.999890065949548
"ENSMUSG00000025257"	169.291661529268	0.0513881585498549	0.384706287700002	0.133577641418556	0.89373656528198	0.999890065949548
"ENSMUSG00000025260"	1991.89358839288	0.0552525438215688	0.233835565593595	0.236288024370072	0.813209179041131	0.999890065949548
"ENSMUSG00000025261"	15613.6122362681	-0.161150827365701	0.24548062204397	-0.656470665683894	0.511521335799766	0.999890065949548
"ENSMUSG00000041229"	1316.77459746683	0.0271762619732597	0.131838814740541	0.206132480990083	0.83668742739301	0.999890065949548
"ENSMUSG00000084771"	11.5150820620792	1.79174367026805	1.06894845696296	1.6761740555374	0.093704104481459	0.999890065949548
"ENSMUSG00000041245"	927.520049568873	-0.01368130138071	0.310256176018393	-0.0440967898086224	0.964827251659021	0.999890065949548
"ENSMUSG00000025264"	1599.72248852487	-0.0763085376778282	0.208480056594446	-0.366023201088583	0.714347763126787	0.999890065949548
"ENSMUSG00000025265"	3048.98027070636	0.215933711355191	0.282751097204117	0.76368832337124	0.445053000811922	0.999890065949548
"ENSMUSG00000025266"	4356.42441922885	0.0583986309209073	0.14226377863919	0.410495429543019	0.681442555525147	0.999890065949548
"ENSMUSG00000025271"	299.402794502007	-0.0154270983232201	0.343734896125908	-0.0448808034828365	0.964202318025908	0.999890065949548
"ENSMUSG00000025270"	9.50187067255233	-0.372583020318919	1.21727765572233	-0.306078911879665	0.759544563773845	0.999890065949548
"ENSMUSG00000095082"	9.4540242786827	1.36481412822118	1.19427542588222	1.14279679430981	0.253122970095754	0.999890065949548
"ENSMUSG00000094378"	6.37598249339553	-0.483015467698567	2.35509162891949	-0.205094129573283	0.83749858287079	NA
"ENSMUSG00000079387"	6.60225043662158	0.677697777015201	1.88078382199381	0.36032731092762	0.718602377934502	NA
"ENSMUSG00000031290"	838.639613253072	-0.419242049088192	0.230147859578339	-1.82162045676331	0.0685125947728408	0.994719345292286
"ENSMUSG00000041688"	1464.12928261107	-1.11428701358836	0.430547981716592	-2.58806697721751	0.00965162120328721	0.477263387644423
"ENSMUSG00000041718"	6609.16525692184	0.168380612743435	0.314465376843527	0.535450402946009	0.592338444831101	0.999890065949548
"ENSMUSG00000031285"	1783.76529290592	-1.86371414407086	1.61958660089064	-1.15073447943195	0.249841487116729	0.999890065949548
"ENSMUSG00000031284"	264.518069383747	-0.177121114323316	0.598642277275799	-0.295871376023306	0.767328311519153	0.999890065949548
"ENSMUSG00000042225"	952.173580842829	-0.107846722365819	0.219366351482604	-0.49162837252354	0.622982082238495	0.999890065949548
"ENSMUSG00000047045"	1534.60362861874	-0.140519479363022	0.24686546382246	-0.569214815175931	0.56921036775701	0.999890065949548
"ENSMUSG00000031273"	204.03214632542	-1.74992535340266	1.12571163878954	-1.55450587264456	0.12006379694157	0.999890065949548
"ENSMUSG00000031429"	820.930971528359	0.0205840279435848	0.227854915810307	0.0903383096668466	0.928018377881662	0.999890065949548
"ENSMUSG00000042386"	80.138508968704	-1.35903574557146	1.34511100066314	-1.01035211584877	0.312326620564127	0.999890065949548
"ENSMUSG00000031431"	651.228095361294	-0.701395002005844	0.429157976373406	-1.63435154563122	0.102185056188953	0.999890065949548
"ENSMUSG00000031432"	3879.48920355927	-0.0372724826939805	0.272173257876236	-0.136943956157989	0.891075094118584	0.999890065949548
"ENSMUSG00000042425"	39.7191863585669	1.25342154887706	1.40074576077023	0.894824445649465	0.370880940381765	0.999890065949548
"ENSMUSG00000072944"	888.740641134657	0.0827681412130344	0.378709925739354	0.218552870119384	0.826998369365576	0.999890065949548
"ENSMUSG00000031433"	301.28134116618	0.00192744017342052	0.246390417826655	0.0078227075160713	0.993758446107706	0.999890065949548
"ENSMUSG00000047230"	18.0660989172784	-0.900780504993943	1.11234322862094	-0.809804457667898	0.418052570211875	0.999890065949548
"ENSMUSG00000042473"	90.8537667791511	0.16121626057367	0.435069975998166	0.370552484583192	0.710970878086163	0.999890065949548
"ENSMUSG00000031438"	597.643660077419	0.188319695574176	0.540939846409996	0.348134264510148	0.727739352570481	0.999890065949548
"ENSMUSG00000042498"	89.202902790231	-0.744980710280861	0.581769836344514	-1.2805420008742	0.200354583103027	0.999890065949548
"ENSMUSG00000051257"	1649.57950765604	0.943598072467396	0.56285723534624	1.67644300048296	0.09365145216644	0.999890065949548
"ENSMUSG00000081938"	7.61054658544185	-0.282102616079218	1.23618278760956	-0.22820461416125	0.819487174494976	NA
"ENSMUSG00000042595"	601.182437568316	-0.823423425633222	0.253894126322633	-3.24317634897496	0.00118205023058754	0.145811345110703
"ENSMUSG00000044348"	237.628972802467	0.0638907822210079	0.321405452823279	0.198785620031585	0.842430445061967	0.999890065949548
"ENSMUSG00000089996"	50.8974420891421	0.125374903556407	0.456304509900254	0.274761482378979	0.783499492115872	0.999890065949548
"ENSMUSG00000072955"	73.1436452612489	-0.204700007307232	0.518012335755646	-0.395164348757501	0.692721601604943	0.999890065949548
"ENSMUSG00000079428"	37.814809111642	0.380403602800954	0.581175963993773	0.654541182651231	0.512763203751608	0.999890065949548
"ENSMUSG00000050071"	4511.01782409253	-0.178072888351413	0.299294114260512	-0.594976245327746	0.551859349745991	0.999890065949548
"ENSMUSG00000051579"	4235.67856903174	-0.36542671844675	0.21239809226493	-1.72048022913004	0.0853451844781705	0.999890065949548
"ENSMUSG00000047844"	2124.56717139873	-0.0794357768664786	0.346481819078845	-0.229263910809711	0.818663801469141	0.999890065949548
"ENSMUSG00000042750"	1693.90181712395	-0.353256231269466	0.311015327559901	-1.13581614784381	0.256033517469154	0.999890065949548
"ENSMUSG00000072966"	648.092026014648	-0.207950420907628	0.239196889514247	-0.869369251957775	0.384645195557788	0.999890065949548
"ENSMUSG00000072964"	1574.68313980806	-0.133597533022306	0.157226932509732	-0.849711502283719	0.395485501920786	0.999890065949548
"ENSMUSG00000043384"	2369.11933136619	-0.199890678344187	0.185806884411263	-1.07579801995793	0.282017598015236	0.999890065949548
"ENSMUSG00000058252"	18.7217960590208	0.43281495253539	1.26306816928292	0.342669511481008	0.731847101811614	0.999890065949548
"ENSMUSG00000089759"	4.87404395944187	0.466039424130262	1.50724443798202	0.309199631052692	0.7571696745383	NA
"ENSMUSG00000033436"	3938.41263792214	-0.523407630073576	0.262896156680596	-1.99092918162926	0.0464886734806846	0.914079134346359
"ENSMUSG00000049047"	1384.33539174635	-0.579229299577442	0.271989801205635	-2.12959933427622	0.0332047060711422	0.810537504456344
"ENSMUSG00000049804"	3010.28443782975	-0.511978051469252	0.256723503885942	-1.99427806071358	0.0461216754775434	0.910549718026007
"ENSMUSG00000048007"	1861.52219547123	-0.0577474647021266	0.2514792063164	-0.229631171292434	0.81837838285805	0.999890065949548
"ENSMUSG00000031262"	1048.99587822701	0.207326313073367	0.230697935155138	0.898691672008012	0.368816914134657	0.999890065949548
"ENSMUSG00000033578"	282.325253697674	-0.555484462994867	0.910089682234823	-0.610362334435893	0.541621813125893	0.999890065949548
"ENSMUSG00000031257"	5.92664304628512	1.30211553034934	1.33730685500606	0.973684929135755	0.330213002551503	NA
"ENSMUSG00000031256"	3688.35582276501	0.0239501567631433	0.130466748342752	0.183572880196441	0.854348539997669	0.999890065949548
"ENSMUSG00000051323"	289.291175339818	-1.20282452380177	0.544985313296859	-2.20707695135003	0.0273086837291327	0.755546015885032
"ENSMUSG00000079450"	10.8870156418183	1.43156583726363	1.04157947555647	1.37441824734383	0.16931187444098	0.999890065949548
