group	CpG Islands	"Accessible
Regions"	"Input
Chromatin"	Genomic	WT	ZFC4mut
0.3	9468	12108	113	93	1	0
0.4	983	43942	1718	1373	115	1
0.5	0	47246	8103	7127	10256	312
0.6	0	3440	5950	5510	4761	381
